"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"CC";"CP";"IMI"
"482";"25001019069P0";"ENSINO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,492063492063492;0,501488095238095;0,410763888888889;0,468105158730159
"483";"25001019072P1";"EDUCAÇÃO FÍSICA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,490196078431373;0,5;0,5975;0,529232026143791
"484";"25001019073P8";"FARMÁCIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,506666666666667;0,417995583382195;0,503611111111111;0,476091120386658
"485";"25001019074P4";"SAÚDE COLETIVA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,615384615384615;0,503812636165577;0,4875;0,535565750516731
"486";"25001019075P0";"BIODIVERSIDADE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,543859649122807;0,541666666666667;0,498809523809524;0,528111946532999
"487";"25001019077P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,666666666666667;0,611111111111111;0,324537037037037;0,534104938271605
"488";"25001019078P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";0,5;0,555555555555556;0,513461538461538;0,523005698005698
"489";"25001019079P6";"CIÊNCIAS BIOLÓGICAS I";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"5";0,55;0,40625;0,519047619047619;0,491765873015873
"490";"25001019080P4";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,388888888888889;0,542592592592593;0,388541666666667;0,440007716049383
"491";"25001019081P0";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,69047619047619;0,544973544973545;0,518229166666667;0,584559634038801
"492";"25001019082P7";"ENFERMAGEM";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";0,266666666666667;0,287608225108225;0,481018518518519;0,345097803431137
"493";"25001019083P3";"ECONOMIA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,307692307692308;0,511029411764706;0,394791666666667;0,404504462041227
"494";"25001019084P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,491228070175439;0,511946386946387;0,411904761904762;0,471693073008862
"495";"25001019087P9";"ECONOMIA";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";0,549019607843137;0,567567567567568;0,377777777777778;0,498121651062827
"496";"25001019088P5";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,595238095238095;0,6;0,438888888888889;0,544708994708995
"497";"25001019089P1";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,583333333333333;0,64;0,513541666666667;0,578958333333333
"498";"25001019090P0";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,222222222222222;0,558035714285714;0,45297619047619;0,411078042328042
"499";"25001019091P6";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";0,5;0,976190476190476;0,328888888888889;0,601693121693122
"500";"25001019092P2";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,644444444444444;0,620833333333333;0,434259259259259;0,566512345679012
"501";"25001019093P9";"NUTRIÇÃO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";0,641025641025641;0,548992673992674;0,479444444444444;0,556487586487587
"502";"25001019094P5";"FILOSOFIA";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,311111111111111;0,816666666666667;0,377222222222222;0,501666666666667
"503";"25001019095P1";"ENSINO";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";0,555555555555555;0,571428571428571;0,537797619047619;0,554927248677249
