"";"CD_PROGRAMA_IES";"SPPAP"
"897";"33011010001P5";6
"898";"33011010005P0";5
"899";"33011010008P0";7
"900";"33011010012P7";5
"901";"33011010013P3";10
"902";"33014019001P0";1
"903";"33019010010P1";4
"904";"33021015001P3";1
"905";"33021015006P5";11
"906";"33021015009P4";1
"907";"33021015014P8";11
"908";"33024014017P6";1
"909";"33024014023P6";5
"910";"33024014031P9";4
"911";"33027013005P7";2
"912";"33028010004P0";3
"913";"33045011001P2";6
"914";"33051011002P5";3
"915";"33051011010P8";6
"916";"33052018002P1";7
"917";"33054010003P0";24
"918";"33054010004P7";1
"919";"33056013013P9";10
"920";"33056013014P5";2
"921";"33056013015P1";8
"922";"33057010002P7";2
"923";"33063010002P3";4
"924";"33063010003P0";2
"925";"33063010005P2";1
"926";"33065012003P9";5
"927";"33065012004P5";7
"928";"33067015002P5";7
"929";"33067015003P1";1
"930";"33069018001P1";1
"931";"33073015001P5";3
"932";"33078017002P3";1
"933";"33081018001P4";1
"934";"33082014003P3";1
"935";"33082014005P6";1
"936";"33083010001P7";2
"937";"33083010004P6";9
"938";"33084017001P3";4
"939";"33084017003P6";1
"940";"33087016001P2";3
"941";"33087016002P9";2
"942";"33092010007P4";1
"943";"33092010008P0";1
"944";"33092010009P7";1
"945";"33092010017P0";1
"946";"33093016003P1";1
"947";"33093016004P8";2
"948";"33093016006P0";1
"949";"33106010002P5";3
"950";"33107017002P1";3
"951";"33107017008P0";7
"952";"33112010001P5";1
"953";"33114013001P8";6
"954";"33114013002P4";1
"955";"33119015001P0";18
"956";"33119015002P6";11
"957";"33126011002P9";2
"958";"33128014001P5";1
"959";"33144010001P7";3
"960";"33144010003P0";15
"961";"33144010005P2";3
"962";"33144010006P9";7
"963";"33144010007P5";7
"964";"33144010015P8";2
"965";"33144010016P4";4
"966";"33144010022P4";1
"967";"33144010023P0";1
"968";"33147019001P2";2
"969";"33148015001P9";2
"970";"33149011002P1";1
"971";"33158010001P0";6
"972";"33245010001P7";1
"973";"33280010001P2";1
"974";"33283010001P5";2
"975";"33287015001P7";25
"976";"33299013001P1";4
"977";"40001016003P2";14
"978";"40001016007P8";2
"979";"40001016012P1";8
"980";"40001016014P4";2
"981";"40001016015P0";2
"982";"40001016019P6";4
"983";"40001016023P3";5
"984";"40001016026P2";28
"985";"40001016031P6";9
"986";"40001016033P9";33
"987";"40001016036P8";70
"988";"40001016038P0";2
"989";"40001016040P5";12
"990";"40001016042P8";38
"991";"40001016043P4";1
"992";"40001016044P0";10
"993";"40001016047P0";1
"994";"40001016049P2";3
"995";"40001016053P0";7
"996";"40001016056P9";3
"997";"40001016066P4";1
"998";"40001016070P1";1
"999";"40001016074P7";3
"1000";"40001016075P3";2
"1001";"40001016078P2";1
"1002";"40001016081P3";1
"1003";"40001016083P6";3
"1004";"40002012003P9";11
"1005";"40002012009P7";6
"1006";"40002012016P3";17
"1007";"40002012018P6";5
"1008";"40002012019P2";1
"1009";"40002012023P0";8
"1010";"40002012026P9";1
"1011";"40002012033P5";1
"1012";"40002012039P3";20
"1013";"40002012041P8";27
"1014";"40002012043P0";1
"1015";"40002012046P0";5
"1016";"40002012049P9";6
"1017";"40002012171P9";2
"1018";"40003019004P1";2
"1019";"40003019005P8";7
"1020";"40003019006P4";3
"1021";"40003019009P3";4
"1022";"40003019010P1";4
"1023";"40003019011P8";5
"1024";"40003019016P0";6
"1025";"40003019019P9";1
"1026";"40004015001P9";3
"1027";"40004015002P5";3
"1028";"40004015003P1";10
"1029";"40004015008P3";1
"1030";"40004015018P9";4
"1031";"40004015022P6";1
"1032";"40004015026P1";3
"1033";"40004015034P4";1
"1034";"40004015038P0";5
"1035";"40004015039P6";1
"1036";"40004015042P7";3
"1037";"40004015070P0";1
"1038";"40005011002P1";17
"1039";"40005011004P4";12
"1040";"40005011006P7";2
"1041";"40005011007P3";10
"1042";"40005011008P0";1
"1043";"40005011009P6";10
"1044";"40005011013P3";5
"1045";"40005011018P5";1
"1046";"40005011170P1";5
"1047";"40006018001P1";5
"1048";"40006018002P8";1
"1049";"40006018003P4";2
"1050";"40006018004P0";14
"1051";"40006018006P3";2
"1052";"40006018008P6";2
"1053";"40006018009P2";2
"1054";"40006018010P0";1
"1055";"40006018011P7";3
"1056";"40006018012P3";9
"1057";"40006018013P0";3
"1058";"40006018014P6";1
